acgt,ryr,gcc,Hgc,gcs,ats,locus_tag
60,0.9355,0.5333,0.9968,+0.3750,+0.3571,b0001
2457,1.0206,0.5311,0.9972,-0.0575,-0.0434,b0002
927,1.0973,0.5653,0.9877,-0.1183,-0.0471,b0003
1281,1.0795,0.5301,0.9974,-0.0692,+0.0033,b0004
291,1.0638,0.5430,0.9947,+0.0506,+0.1278,b0005
771,1.0615,0.4994,1.0000,-0.0182,+0.0415,b0006
1425,0.8363,0.5347,0.9965,-0.0315,-0.2278,b0007
948,1.1303,0.5222,0.9986,-0.0263,+0.0993,b0008
582,1.1241,0.5481,0.9933,-0.0909,+0.0190,b0009
561,0.8214,0.5348,0.9965,-0.0200,-0.2337,b0010
708,1.1651,0.5099,0.9997,-0.0859,+0.0663,b0011
399,1.0152,0.4937,0.9999,+0.0964,+0.1089,b0013
1911,1.2042,0.5123,0.9996,-0.0296,+0.1588,b0014
1125,1.2189,0.5538,0.9916,-0.1075,+0.0876,b0015
1107,1.0808,0.5212,0.9987,-0.0503,+0.0264,b0016
204,1.2174,0.5245,0.9983,-0.1028,+0.0928,b0018
147,1.1000,0.5442,0.9944,-0.0750,+0.0149,b4412
1161,0.8878,0.5142,0.9994,-0.1189,-0.2482,b0019
900,1.0270,0.4767,0.9984,-0.0536,-0.0234,b0020
498,1.1558,0.5502,0.9927,-0.0803,+0.0625,b0021
270,0.8881,0.5333,0.9968,+0.1111,+0.0000,b0022
258,1.2435,0.4729,0.9979,+0.0820,+0.2794,b0023
213,0.8522,0.4930,0.9999,-0.0095,-0.1667,b0024
936,1.0754,0.5385,0.9957,-0.0992,-0.0370,b0025
2811,1.1040,0.5582,0.9902,-0.0478,+0.0515,b0026
489,0.8808,0.5399,0.9954,-0.0606,-0.2089,b0027
444,0.9910,0.5495,0.9929,-0.0164,-0.0300,b0028
945,1.1824,0.5534,0.9917,-0.1281,+0.0284,b0029
909,0.9097,0.5655,0.9876,+0.0078,-0.0987,b0030
816,1.1530,0.5368,0.9961,-0.1553,-0.0265,b0031
1143,1.0266,0.5354,0.9964,+0.0261,+0.0584,b0032
3216,1.1312,0.5634,0.9884,-0.0552,+0.0698,b0033
390,1.3214,0.4641,0.9963,-0.1823,+0.1005,b0034
585,1.1429,0.5504,0.9927,-0.1615,-0.0494,b0035
780,1.1311,0.5436,0.9945,-0.0991,+0.0169,b0036
1548,1.0640,0.5116,0.9996,-0.0556,+0.0053,b0037
1212,1.0577,0.5281,0.9977,+0.0219,+0.0839,b0038
1137,1.1493,0.5409,0.9952,-0.0992,+0.0345,b0039
1509,0.8699,0.5195,0.9989,-0.0179,-0.1641,b0040
765,1.1309,0.5281,0.9977,-0.0297,+0.0970,b0041
936,1.1176,0.5684,0.9865,-0.0263,+0.0941,b0042
1281,1.1174,0.5504,0.9927,-0.0950,+0.0069,b0043
282,1.1692,0.5745,0.9839,-0.1605,-0.0333,b0044
1326,0.8997,0.5347,0.9965,-0.1030,-0.2318,b0045
525,0.9590,0.5486,0.9932,-0.0069,-0.0549,b0046
1857,1.0610,0.5563,0.9908,-0.1462,-0.1165,b0047
474,1.1448,0.5316,0.9971,-0.0794,+0.0541,b0048
837,1.0718,0.5603,0.9895,-0.0704,-0.0109,b0049
372,0.9579,0.5242,0.9983,+0.0462,+0.0056,b0050
816,1.0049,0.5331,0.9968,+0.0115,+0.0184,b0051
984,0.9602,0.5650,0.9878,-0.0036,-0.0514,b0052
1281,1.1386,0.5402,0.9953,-0.0058,+0.1341,b0053
2349,1.0355,0.5143,0.9994,+0.0182,+0.0552,b0054
810,1.1833,0.5284,0.9977,-0.1636,-0.0052,b0055
,,,,,,b4659
654,1.2169,0.5428,0.9947,-0.1324,+0.0569,b0058
2901,1.0589,0.5498,0.9928,-0.0257,+0.0322,b0059
2346,1.0259,0.5537,0.9917,-0.0100,+0.0162,b0060
690,1.0659,0.5565,0.9908,+0.0417,+0.1242,b0061
1497,1.0230,0.5564,0.9908,+0.0036,+0.0301,b0062
1695,0.9988,0.5817,0.9806,-0.0142,-0.0212,b0063
873,0.9886,0.5281,0.9977,-0.0499,-0.0680,b0064
759,0.9512,0.5402,0.9953,-0.2049,-0.2951,b0065
693,1.1258,0.5729,0.9846,-0.1134,-0.0135,b0066
1605,0.8685,0.5850,0.9790,-0.0501,-0.2402,b0067
978,1.0987,0.5337,0.9967,-0.0077,+0.0921,b0068
1650,1.0024,0.5497,0.9929,+0.0187,+0.0256,b0069
126,1.0323,0.4762,0.9984,-0.1000,-0.0606,b4662
1173,0.9681,0.4859,0.9994,-0.1860,-0.2073,b0070
600,1.0548,0.5183,0.9990,-0.0354,+0.0173,b0071
1395,1.1201,0.5591,0.9899,-0.0103,+0.1154,b0072
1086,1.0529,0.5571,0.9906,-0.0149,+0.0395,b0073
1566,1.1248,0.5307,0.9973,-0.0108,+0.1129,b0074
81,0.7609,0.4938,0.9999,+0.1500,-0.1220,b0075
939,1.0237,0.4590,0.9951,-0.0348,-0.0079,b0076
1719,1.1040,0.5300,0.9974,-0.1087,-0.0173,b0077
486,1.1316,0.5041,1.0000,-0.1102,+0.0124,b0078
999,0.9940,0.5506,0.9926,-0.0218,-0.0334,b0080
453,1.1268,0.5254,0.9981,-0.0756,+0.0419,b0081
936,1.0708,0.5534,0.9918,-0.0425,+0.0239,b0082
360,1.2086,0.5083,0.9998,-0.0929,+0.0960,b0083
1761,1.0939,0.5412,0.9951,-0.0661,+0.0198,b0084
1482,1.1572,0.5661,0.9873,-0.1228,+0.0078,b0085
1353,1.0720,0.5521,0.9922,-0.0361,+0.0330,b0086
1077,0.8796,0.5357,0.9963,-0.0988,-0.2520,b0087
1311,1.1111,0.5500,0.9928,-0.1040,-0.0102,b0088
1239,0.9269,0.5311,0.9972,-0.1033,-0.1979,b0089
1062,1.1852,0.5631,0.9885,-0.1472,+0.0043,b0090
1470,1.0763,0.5483,0.9933,-0.0769,-0.0120,b0091
915,1.2209,0.5180,0.9991,-0.1772,+0.0159,b0092
825,1.2358,0.5345,0.9966,-0.1202,+0.0885,b0093
1257,1.2487,0.5227,0.9985,-0.1720,+0.0433,b0094
1146,1.1664,0.5436,0.9945,-0.1332,+0.0096,b0095
912,0.9529,0.5132,0.9995,-0.0085,-0.0586,b0096
507,0.8989,0.5424,0.9948,+0.1273,+0.0345,b0097
2700,1.1862,0.5248,0.9982,-0.0558,+0.1177,b0098
384,1.3558,0.4948,0.9999,-0.1895,+0.1134,b0099
192,1.3133,0.5208,0.9987,-0.1000,+0.1739,b0101
738,0.9219,0.5176,0.9991,+0.0209,-0.0618,b0102
615,1.0364,0.5301,0.9974,-0.0061,+0.0311,b0103
1038,1.0353,0.5154,0.9993,-0.0766,-0.0457,b0104
1197,1.0854,0.5213,0.9987,-0.0577,+0.0227,b0106
1380,0.9971,0.5362,0.9962,+0.0162,+0.0156,b0107
435,1.0046,0.5356,0.9963,+0.0215,+0.0297,b0108
888,1.0651,0.5338,0.9967,+0.0084,+0.0773,b0109
546,0.9570,0.5403,0.9953,-0.0508,-0.1076,b0110
849,0.9122,0.5230,0.9985,-0.1486,-0.2593,b0111
1368,0.9487,0.5285,0.9977,-0.0733,-0.1380,b0112
759,1.0133,0.5599,0.9896,+0.0306,+0.0539,b0113
2658,1.0717,0.5312,0.9972,-0.0127,+0.0594,b0114
1887,1.2252,0.5480,0.9934,-0.0928,+0.1114,b0115
1419,1.1764,0.5321,0.9970,-0.0517,+0.1145,b0116
1848,1.0834,0.5400,0.9954,+0.0782,+0.1788,b0117
2592,1.0442,0.5594,0.9898,-0.0303,+0.0105,b0118
357,1.4965,0.5266,0.9980,-0.2766,+0.1124,b0119
789,1.0025,0.4639,0.9962,+0.0601,+0.0544,b0120
861,0.9392,0.5099,0.9997,+0.0569,-0.0047,b0121
342,0.9543,0.5058,0.9999,+0.0636,+0.0178,b0122
1545,1.1458,0.5482,0.9933,-0.1122,+0.0143,b0123
2385,1.0025,0.5551,0.9912,-0.0166,-0.0179,b0124
531,1.1071,0.5104,0.9997,-0.1292,-0.0308,b0125
