Laa,ndaa,Haau,mmw,gravy,aroma,locus_tag
20,8,2.4842,117.48,+0.0150,0.0000,b0001
819,20,4.0887,126.65,+0.0328,0.0659,b0002
309,20,4.1228,126.35,+0.0181,0.0712,b0003
427,20,4.0806,128.00,-0.1014,0.0843,b0004
97,18,3.9165,133.54,-1.0268,0.0928,b0005
257,19,4.0733,132.55,-0.4117,0.1089,b0006
475,20,4.0413,126.46,+0.6781,0.1242,b0007
316,20,4.0395,128.99,-0.2165,0.0728,b0008
194,20,4.0340,126.64,-0.0232,0.0464,b0009
187,20,3.8170,124.55,+0.9471,0.1444,b0010
236,20,4.0136,130.37,-0.2839,0.0508,b0011
133,20,4.0213,125.78,-0.1008,0.0376,b0013
637,20,3.9952,126.28,-0.4122,0.0361,b0014
375,19,4.0558,127.22,-0.6411,0.0720,b0015
369,20,4.0255,128.47,-0.2279,0.0732,b0016
68,19,3.8584,129.68,+0.2309,0.0294,b0018
49,17,3.7294,127.25,+0.6571,0.0408,b4412
387,20,3.9010,124.49,+1.0023,0.0879,b0019
300,20,4.1723,131.80,-0.1230,0.1033,b0020
166,20,4.1415,134.97,-0.5355,0.1084,b0021
90,19,4.0229,126.01,-0.3411,0.0444,b0022
86,18,3.6652,128.89,-0.7349,0.0349,b0023
71,19,3.9108,127.04,+0.6042,0.1268,b0024
312,19,3.9918,128.86,-0.0731,0.0705,b0025
937,20,4.1647,129.16,-0.2649,0.0928,b0026
163,20,4.0015,128.49,+0.6663,0.1472,b0027
148,18,3.9792,125.66,-0.1088,0.0676,b0028
315,20,4.0546,127.94,-0.1794,0.0508,b0029
303,20,4.0678,124.98,+0.2842,0.0627,b0030
272,20,3.9474,123.19,+0.0125,0.0515,b0031
381,20,4.1142,126.37,-0.2045,0.0682,b0032
1072,20,4.0919,127.80,-0.1639,0.0644,b0033
130,20,4.0955,135.61,-0.3369,0.0615,b0034
195,20,4.0951,126.19,-0.0328,0.0564,b0035
260,20,4.0052,125.86,+0.0004,0.0808,b0036
516,20,4.2141,131.21,-0.1791,0.1027,b0037
404,20,4.1847,129.34,-0.1765,0.1015,b0038
